Title;Price;Area;Rooms;Price per m2;Floor;City_or_District;Province
3-pokojowe mieszkanie 62m2 + balkon Bez Prowizji;738298;62.05;3;11898;3;Poznań;wielkopolskie
3-pokojowe mieszkanie 66m2 + balkon;752513;66.31;3;11348;2;Wrocław;dolnośląskie
5-pokojowe mieszkanie 145m2 + 2 tarasy;1798000;145.27;5;12377;1;Kraków;małopolskie
Kawalerka, 41 m2, Świętochłowice, ul. Wolnego;113000;41.0;1;2756;1;Świętochłowice;śląskie
RABAT - Mieszkanie inwestycyjne w centrum Łodzi;231900;27.33;1;8485;1;Łódź;łódzkie
Tanie mieszkanie z ogromnym  tarasem.;419000;32.0;2;13094;1;piaseczyński;mazowieckie
Dwa pokoje w kamienicy przy Parku Promenada;998900;33.46;2;29854;2;Warszawa;mazowieckie
Nowe, wykończone mieszkanie, 2 pokoje, bez PCC;599000;41.0;2;14610;2;Wrocław;dolnośląskie
Bezczynszowe, słoneczne, rozkładowe;749000;71.0;3;10549;0;wołomiński;mazowieckie
Mieszkanie, 42,60 m², Polanica-Zdrój;795000;42.6;2;18662;2;kłodzki;dolnośląskie
Mieszkanie w kamienicy blisko Manufaktury;570000;70.0;3;8143;2;Łódź;łódzkie
Mieszkanie 71m2 w Piasecznie do wprowadzenia;725000;71.2;3;10183;3;piaseczyński;mazowieckie
Tajemniczy Ogród W Samym Sercu Wrzeszcza!;999999;84.47;4;11839;0;Gdańsk;pomorskie
Ogrody Diany |Hery 7/25;635000;59.83;3;10613;1;Gdańsk;pomorskie
Kilińskiego 100 - gotowe do odbioru na jesień;250200;25.33;1;9878;0;Łódź;łódzkie
Osowa-Mieszkanie 4 Pokoje + 55M2 Ogrodu;899000;81.1;4;11085;0;Gdańsk;pomorskie
OBNIŻKA Kilińskiego 100 - gotowe do odbioru;217200;29.8;1;7289;4;Łódź;łódzkie
Obok Wyspy Słodowej - 4 POKOJE!;857000;63.0;4;13603;3;Wrocław;dolnośląskie
33M2 / Osowa Góra / Balkon /Widok Na Las;280000;32.58;1;8594;0;Bydgoszcz;kujawsko-pomorskie
Osiedle Linea |Logo|B_LG_2_6;381578;37.23;2;10249;0;poznański;wielkopolskie
2-pok + garderoba, mieszkanie Gliwice, ul. Lipowa;398999;59.0;2;6763;1;gliwicki;śląskie
Przytulne 2-pokojowe mieszkanie z balkonem;560000;40.3;2;13896;1;piaseczyński;mazowieckie
Promocja! Kilińskiego 100 - gotowe do odbioru;245300;27.73;1;8846;0;Łódź;łódzkie
3 pokoje, niski blok, Winogrady, Os. Zwycięstwa;490000;47.0;3;10426;4;Poznań;wielkopolskie
Komfortowe mieszkanie 3-pokojowe;499000;47.0;3;10617;2;piaseczyński;mazowieckie
Top lokalizacja, wysoki salon, taras, ogródek;2699000;270.0;6;9996;0;Wrocław;dolnośląskie
Osiedle Olimpijskie | mieszkanie B13;438194;51.06;2;8582;2;szamotulski;wielkopolskie
3-pokojowe mieszkanie 58m2 + balkon Bezpośrednio;767998;58.27;3;13180;2;Wrocław;dolnośląskie
3-pokojowe mieszkanie 60m2 + loggia;844620;60.33;3;14000;2;Kraków;małopolskie
3-pokojowe mieszkanie 63m2 + loggia Bezpośrednio;930604;63.74;3;14600;6;Kraków;małopolskie
2-pokojowe mieszkanie 46m2 + balkon Bezpośrednio;411516;46.94;2;8767;3;poznański;wielkopolskie
3-pokojowe mieszkanie 56m2 + balkon;457805;56.37;3;8121;2;poznański;wielkopolskie
⭐Metro | Oddzielna kuchnia | Piwnica⭐;589000;48.19;2;12222;0;Warszawa;mazowieckie
4-pokojowe mieszkanie 59m2 + balkon Bezpośrednio;575140;59.6;4;9650;1;wrocławski;dolnośląskie
Jasne mieszkanie z boksem garażowym i balkonem;595000;48.81;2;12190;1;Poznań;wielkopolskie
Mieszkanie w kamienicy blisko Manufaktury;570000;70.0;3;8143;2;Łódź;łódzkie
Oporów, 2 poziomy, WYSOKI STANDARD! 3pokoje!;639000;62.0;3;10306;2;Wrocław;dolnośląskie
Deweloperskie premium z garażem dla elektryka;625000;28.94;2;21596;1;Warszawa;mazowieckie
Niezwykłe mieszkanie z unikalnym klimatem;450000;45.7;2;9847;4;Poznań;wielkopolskie
3-pokojowe mieszkanie 57m2 + balkon;524888;57.68;3;9100;1;wrocławski;dolnośląskie
Fordon, 3 pokoje, cicha lokalizacja przy Górkach;369000;52.96;3;6968;2;Bydgoszcz;kujawsko-pomorskie
2 pokoje , 39 m2, balkon, Lsm przy uczelniach;370000;39.0;2;9487;3;Lublin;lubelskie
Kawalerka | Blisko metra | KW | Bez prowizji;790000;42.88;2;18424;2;Warszawa;mazowieckie
Apartament 74m2 w Szczyrku z widokiem na Skrzyczne;850000;74.27;3;11445;1;bielski;śląskie
Komfortowe mieszkanie z balkonem w centrum;725000;62.0;3;11694;2;Wrocław;dolnośląskie
Kawalerki gotowe do zamieszkania- Fabryczna;426000;26.0;1;16385;4;Wrocław;dolnośląskie
Mieszkanie z balkonem i ogródkiem 50m2 ,2 miejsca;726731;74.27;4;9785;1;wołomiński;mazowieckie
Sprzedam, Apartament Z Pięknym Widokiem;2990000;120.0;3;24917;11;Warszawa;mazowieckie
Przestronne mieszkanie w super lokalizacji Jaracza;474000;131.5;4;3605;3;Łódź;łódzkie
3 pokojowe,nowe budownictwo,,blisko Centrum !;1150000;81.6;3;14093;6;Warszawa;mazowieckie
Paderewskiego 18 - dwa pokoje z balkonem;404136;37.42;2;10800;1;nowodworski;mazowieckie
ul. Stawowa | mieszkanie 2-pok. | 1.9;785497;48.19;2;16300;2;Kraków;małopolskie
Okulickiego M-3 56m2;439000;56.0;2;7839;2;Częstochowa;śląskie
Jemiołuszki Park| mieszkanie 2-pok. | M40;411785;34.06;2;12090;2;Lublin;lubelskie
mieszkanie 2 poziomy Zachodnia;485000;60.49;4;8018;2;Białystok;podlaskie
